label,n,success,percent,denominator_rule,sensitivity_n,sensitivity_success,sensitivity_percent
政策完全清楚,560,141,25.18,核心有效且政策认知题非空,485,123,25.36
接受过政策宣讲,560,411,73.39,核心有效且宣传题非空,485,350,72.16
流转者全部签正式合同,229,79,34.5,核心有效、流转面积>0、合同题非空，并排除流转面积及经营模式矛盾,194,66,34.02
至少使用部分托管,561,342,60.96,核心有效且托管题非空,486,293,60.29
未来维持现有规模,560,249,44.46,核心有效且未来规划题非空,485,214,44.12
未来扩大粮食种植,560,101,18.04,核心有效且未来规划题非空,485,83,17.11
未来逐步转出土地,560,143,25.54,核心有效且未来规划题非空,485,125,25.77
未来全部转出不再种粮,560,67,11.96,核心有效且未来规划题非空,485,63,12.99
增收约束:化肥农药等农资涨价,562,504,89.68,核心有效且该多选题非空；短时答卷仅作敏感性排除,487,437,89.73
增收约束:粮食收购价格偏低,562,490,87.19,核心有效且该多选题非空；短时答卷仅作敏感性排除,487,422,86.65
增收约束:人工、农机作业成本贵,562,387,68.86,核心有效且该多选题非空；短时答卷仅作敏感性排除,487,337,69.2
增收约束:土地流转租金高,562,232,41.28,核心有效且该多选题非空；短时答卷仅作敏感性排除,487,202,41.48
政策短板:种粮补贴力度偏小,559,507,90.7,核心有效且该多选题非空；短时答卷仅作敏感性排除,485,439,90.52
政策短板:农田水利设施不完善,559,434,77.64,核心有效且该多选题非空；短时答卷仅作敏感性排除,485,376,77.53
政策短板:土地流转流程不规范,559,318,56.89,核心有效且该多选题非空；短时答卷仅作敏感性排除,485,279,57.53
政策短板:农业托管收费偏高,559,281,50.27,核心有效且该多选题非空；短时答卷仅作敏感性排除,485,235,48.45
