outcome,predictor,standardized_coef,ci_low,ci_high,n,bootstrap_replicates
ln(1+农业收入),labor,0.01077867100524927,-0.02277062384223242,0.040811532060740625,2055,500
ln(1+农业收入),log_operated_area,0.46610141862309395,0.4021742075734161,0.5162918937769961,2055,500
ln(1+农业收入),plot_count,0.01814985837752366,-0.10247761206101916,0.14409963447375243,2055,500
ln(1+农业收入),disaster,0.039227082650279126,0.008761392779039241,0.07474680215191974,2055,500
ln(1+农业收入),log_nonag_income,0.41008588337568613,0.22302523949254208,0.6157980517947375,2055,500
粮食面积占经营面积,labor,-0.0053396722504615605,-0.03541030171391788,0.022806913915209743,1952,500
粮食面积占经营面积,log_operated_area,-0.16071575184165515,-0.18002490055473533,-0.13860291635853542,1952,500
粮食面积占经营面积,plot_count,0.039259140612617434,0.02614610181637884,0.05456095705420899,1952,500
粮食面积占经营面积,disaster,0.0917857019106705,0.06546981196744416,0.11846217528164553,1952,500
粮食面积占经营面积,log_nonag_income,-0.00982762056542857,-0.045895018448798675,0.020890242824964156,1952,500
