label,n,success,percent,denominator_rule,sensitivity_n,sensitivity_success,sensitivity_percent
二轮延包全部完成,37,18,48.65,核心有效且延包进度题非空,33,15,45.45
统一使用规范合同模板,35,15,42.86,核心有效、合同题非空，并排除流转面积矛盾,31,12,38.71
托管服务全覆盖,36,8,22.22,核心有效且托管覆盖题非空,33,7,21.21
约束包含土地细碎化,37,28,75.68,核心有效且村级约束题非空,33,26,78.79
约束包含水利或机耕路不足,37,22,59.46,核心有效且村级约束题非空,33,19,57.58
按季度开展农技或政策宣讲,37,15,40.54,核心有效且村级宣讲题非空,33,14,42.42
村级服务短板:农技人员不足,37,25,67.57,核心有效且该多选题非空；短时答卷仅作敏感性排除,33,21,63.64
村级服务短板:托管服务供给不足,37,23,62.16,核心有效且该多选题非空；短时答卷仅作敏感性排除,33,20,60.61
村级服务短板:民情诉求反馈渠道不畅,37,19,51.35,核心有效且该多选题非空；短时答卷仅作敏感性排除,33,16,48.48
村级服务短板:缺少土地流转服务窗口,37,19,51.35,核心有效且该多选题非空；短时答卷仅作敏感性排除,33,17,51.52
